0.15708, 0.15643
0.31416, 0.30902
0.47124, 0.45399
0.62832, 0.58779
0.7854, 0.70711
0.94248, 0.80902
1.09956, 0.89101
1.25664, 0.95106
1.41372, 0.98769
1.5708, 1.0
1.72788, 0.98769
1.88496, 0.95106
2.04204, 0.89101
2.19911, 0.80902
2.35619, 0.70711
2.51327, 0.58779
2.67035, 0.45399
2.82743, 0.30902
2.98451, 0.15643
3.14159, 0.0
3.29867, -0.15643
3.45575, -0.30902
3.61283, -0.45399
3.76991, -0.58779
3.92699, -0.70711
4.08407, -0.80902
4.24115, -0.89101
4.39823, -0.95106
4.55531, -0.98769
4.71239, -1.0
4.86947, -0.98769
5.02655, -0.95106
5.18363, -0.89101
5.34071, -0.80902
5.49779, -0.70711
5.65487, -0.58779
5.81195, -0.45399
5.96903, -0.30902
6.12611, -0.15643
6.28319, 0.0
